ID,item_cnt_month
0,0.44612467
1,0.115399145
2,0.8126349
3,0.15442532
4,0.115399145
5,0.47405607
6,1.0065707
7,0.10693853
8,0.85917324
9,0.115399145
10,3.164947
11,0.20643638
12,0.106271975
13,0.34979868
14,1.7720091
15,2.8014402
16,0.115399145
17,0.111591294
18,1.4464564
19,0.09096341
20,0.72941977
21,0.115399145
22,0.9521984
23,0.7919363
24,1.5218571
25,0.115399145
26,0.115399145
27,0.4712761
28,0.81022656
29,3.2839031
30,0.39208883
31,0.11539914
32,0.39626366
33,0.5350106
34,0.10045435
35,0.106996864
36,0.117913984
37,0.47306454
38,0.2114144
39,0.120133385
40,0.5776855
41,1.0595092
42,3.8372293
43,3.6744661
44,0.34500265
45,0.115399145
46,0.6642964
47,0.16931885
48,0.23398128
49,1.0069054
50,1.297671
51,0.20643638
52,0.6593417
53,0.1633155
54,5.8274384
55,2.761551
56,2.7129993
57,2.35745
58,5.1218414
59,4.2043047
60,4.718188
61,0.4686175
62,0.31845844
63,0.35142183
64,0.115399145
65,0.115399145
66,0.74148464
67,0.10743743
68,0.34500265
69,0.110482484
70,0.115399145
71,1.7781751
72,0.48224616
73,0.8458441
74,0.115399145
75,0.115399145
76,0.3429237
77,0.115399145
78,0.31628567
79,0.5484238
80,0.8449248
81,3.2117658
82,0.7104448
83,0.18319768
84,0.9270731
85,1.2330437
86,0.68483555
87,0.105311215
88,3.7449048
89,1.3082914
90,0.8254539
91,0.37847888
92,2.1133535
93,0.15442532
94,0.17963646
95,0.103302196
96,0.10743743
97,0.4205007
98,0.6369727
99,1.3291789
100,0.8853647
101,0.6828995
102,0.19733375
103,0.37847888
104,0.10247366
105,0.115399145
106,0.115399145
107,0.5266284
108,0.10949381
109,0.115399145
110,0.1883218
111,0.115399145
112,0.115399145
113,0.115399145
114,0.25340247
115,0.23467627
116,0.115399145
117,0.11951
118,10.448801
119,0.12244487
120,0.09370152
121,0.0990615
122,0.33825386
123,0.53653264
124,0.49984866
125,1.260462
126,0.11539914
127,0.103613324
128,0.115399145
129,0.21113831
130,0.37847888
131,0.115399145
132,0.37847888
133,2.9791236
134,0.09746778
135,0.37847888
136,0.20643638
137,0.115399145
138,0.9576309
139,0.115399145
140,0.20144574
141,0.46103847
142,0.12203294
143,0.20643638
144,0.115399145
145,0.115399145
146,0.115399145
147,0.13959321
148,0.115399145
149,0.115399145
150,0.11418105
151,0.115399145
152,5.7301416
153,0.24831739
154,0.115399145
155,0.18436506
156,0.21953055
157,0.10712207
158,0.15606014
159,0.38393033
160,0.115399145
161,0.20643638
162,0.115399145
163,0.45951563
164,0.37718105
165,0.116887756
166,0.54977965
167,0.11473465
168,0.115399145
169,0.11479702
170,0.20643638
171,0.4891609
172,0.348343
173,1.2611576
174,1.6594858
175,2.9737458
176,1.259661
177,0.115399145
178,0.45701396
179,0.11293398
180,1.0228679
181,0.38355982
182,0.115399145
183,0.1299549
184,0.20081237
185,0.115399145
186,0.10811188
187,0.17069243
188,0.115399145
189,0.115399145
190,0.11539914
191,0.6821115
192,0.5776855
193,0.14528471
194,0.10712207
195,0.13141996
196,0.37847888
197,2.559279
198,1.2643955
199,0.115399145
200,0.115399145
201,0.115399145
202,0.1625294
203,1.2691381
204,0.11566806
205,0.115399145
206,0.115399145
207,0.10856134
208,1.4187207
209,0.504694
210,0.19660291
211,0.12535228
212,0.100527994
213,0.37847888
214,0.11723001
215,0.6314285
216,0.44888496
217,0.20793656
218,2.1328168
219,0.44490933
220,0.4178034
221,0.115399145
222,0.11539914
223,0.72776675
224,2.715578
225,0.35477465
226,0.38137418
227,0.115399145
228,0.19833744
229,0.115399145
230,0.115399145
231,0.4619547
232,0.115399145
233,0.3609134
234,0.115399145
235,0.15498202
236,0.21047702
237,0.32662678
238,0.37847888
239,0.20405568
240,0.81961167
241,0.09471621
242,0.115399145
243,0.115399145
244,0.115399145
245,0.21256727
246,1.7096742
247,0.46422297
248,0.46652025
249,0.11160319
250,0.72149104
251,0.16154547
252,0.26835752
253,1.0132738
254,0.35929492
255,5.7301416
256,0.115399145
257,0.16697045
258,0.4903133
259,0.19006263
260,0.09530422
261,0.116910145
262,0.21509156
263,0.115399145
264,0.089914255
265,0.4429055
266,0.115399145
267,0.20643638
268,0.106996864
269,0.11834623
270,1.0671374
271,0.11616643
272,0.16773044
273,0.6828995
274,12.81893
275,0.115399145
276,0.37847888
277,1.4367968
278,0.38241762
279,0.18621644
280,0.17894776
281,0.15914626
282,0.117085524
283,0.74612194
284,0.17894776
285,0.22679164
286,0.11539914
287,0.8859383
288,0.2232196
289,0.37847888
290,0.115399145
291,0.11168784
292,0.25174826
293,0.13018256
294,0.7906423
295,1.0014558
296,0.1710418
297,0.13157782
298,0.115399145
299,0.115399145
300,0.11545479
301,0.5201404
302,0.8076391
303,0.7441516
304,0.10712207
305,0.10856134
306,0.19888769
307,0.15747738
308,0.24302597
309,0.115399145
310,0.115399145
311,0.3915211
312,0.8383881
313,0.18621644
314,0.115399145
315,0.37847888
316,0.13129729
317,2.1767619
318,0.10145666
319,0.15917653
320,0.115399145
321,0.10812479
322,0.74737304
323,0.13314785
324,0.4607029
325,0.45491737
326,0.3637084
327,0.115399145
328,0.115399145
329,0.37069696
330,0.115399145
331,0.115399145
332,0.1465824
333,0.22448845
334,0.89834315
335,0.24409677
336,0.1174675
337,0.79075485
338,0.39018255
339,0.37364239
340,0.119982176
341,0.20293161
342,0.115399145
343,1.0407791
344,0.10630844
345,0.1220132
346,4.5063276
347,3.8160658
348,0.109581664
349,0.28250927
350,0.11539914
351,0.44787556
352,0.115399145
353,0.117071465
354,0.115399145
355,0.115399145
356,0.37847888
357,0.7906423
358,0.5837692
359,0.37847888
360,0.15442532
361,3.3827624
362,0.6828995
363,0.89834315
364,0.47681683
365,0.49429673
366,0.115399145
367,0.115399145
368,0.115399145
369,0.17505552
370,0.115399145
371,0.37847888
372,0.6828995
373,0.115399145
374,1.4409165
375,2.2685564
376,0.40577805
377,0.22679164
378,0.40636033
379,0.115399145
380,2.9015403
381,0.49429673
382,0.47756243
383,0.11539914
384,1.8392665
385,0.40594405
386,0.4780069
387,0.115399145
388,0.15424712
389,0.09661244
390,0.115399145
391,0.13442424
392,0.1640334
393,0.383717
394,0.115399145
395,0.115399145
396,2.1494017
397,0.2968278
398,0.115399145
399,0.40721154
400,0.115399145
401,0.4462824
402,1.6000824
403,2.467451
404,0.35991853
405,0.12036878
406,0.13776799
407,0.108933076
408,0.11324473
409,0.115399145
410,0.115399145
411,1.0456505
412,0.0927801
413,0.1842297
414,0.11539914
415,4.86617
416,0.115399145
417,0.115399145
418,0.115399145
419,0.115399145
420,0.37975532
421,1.3907764
422,0.37847888
423,1.0009464
424,0.12543315
425,0.16902855
426,0.115399145
427,0.115399145
428,1.082084
429,0.4573763
430,0.7905971
